SampleSize,NumFeatures,Noise,SkewFactor,Model,RMSE_Test_median,RMSE_Test_std,Recovery of Causative Features in Top 5_median,Recovery of Causative Features in Top 5_std,Train_Time_median,Train_Time_std
40,10,0,1.0,LinearRegression,2.6051321721747174,0.5863564654911785,4.0,0.8164965809277259,0.0011701583862304688,0.02046123274241525
40,10,0,1.0,MLP,4.07385638092703,1.2498953167882492,4.0,0.8232726023485646,0.46049654483795166,0.07227314434020399
40,10,0,1.0,RandomForest,3.8249208884662425,0.9403586196696307,3.5,0.6992058987801009,0.14878368377685547,0.015425140704891985
40,10,0,1.0,SVR,4.570482388068477,0.7190441596721225,4.0,0.97182531580755,0.0015683174133300781,0.0005422082689142865
40,30,0,1.0,LinearRegression,8.375152027656306,5.17006450074159,1.0,1.0801234497346435,0.0011562108993530273,0.0004110131508481875
40,30,0,1.0,MLP,5.147325944974563,0.8870707306746475,2.0,1.0540925533894598,0.16326940059661865,0.01848449260319256
40,30,0,1.0,RandomForest,3.7867513738934546,0.6605619282865088,3.0,1.1547005383792515,0.17094016075134277,0.02190397196030384
40,30,0,1.0,SVR,4.130506997054102,0.8218150019422276,2.5,1.0593499054713802,0.0015065670013427734,0.000311665624589488
40,50,0,1.0,LinearRegression,4.844097534383497,0.8774147587487057,3.0,1.1595018087284057,0.0012284517288208008,0.00024051739052005153
40,50,0,1.0,MLP,6.925629302024449,1.2693455524464623,2.0,1.1005049346146119,0.10715210437774658,0.010179864728154768
40,50,0,1.0,RandomForest,4.156134398268262,0.9052946018627174,2.0,0.7071067811865476,0.19028937816619873,0.019712229165805947
40,50,0,1.0,SVR,4.6645613971607,1.2492290094855225,2.0,1.0327955589886444,0.0014424324035644531,0.00019602856992484788
40,100,0,1.0,LinearRegression,4.325637883843551,0.991205445547347,2.0,0.816496580927726,0.0013654232025146484,0.0003469291581440089
40,100,0,1.0,MLP,8.545247725376964,1.6031942839656619,1.0,0.6666666666666666,0.09200048446655273,0.00896251550890642
40,100,0,1.0,RandomForest,3.8466990140316186,0.7417160579516902,2.0,0.9944289260117531,0.25690245628356934,0.027073156814014582
40,100,0,1.0,SVR,4.408428719069236,1.1657002305527295,2.0,0.9189365834726815,0.0014803409576416016,0.0004706082276220853
40,300,0,1.0,LinearRegression,4.135088365444041,1.4713741646089955,1.5,0.699205898780101,0.0017194747924804688,0.000873325610320553
40,300,0,1.0,MLP,10.46356981573361,1.7485098883753634,0.5,0.8232726023485646,0.07595705986022949,0.009252581094709547
40,300,0,1.0,RandomForest,3.9800948629850668,0.9809752513124289,1.5,1.0327955589886444,0.4735656976699829,0.040067513719900166
40,300,0,1.0,SVR,4.47489544559437,1.254154831795144,1.0,0.7071067811865475,0.0014672279357910156,0.0003453696970076347
40,500,0,1.0,LinearRegression,5.306715682981091,1.1241668262809061,1.5,0.8498365855987975,0.00197756290435791,0.00019138601865523771
40,500,0,1.0,MLP,11.646332195303005,1.2240734950797776,0.0,0.0,0.07310020923614502,0.011855707271193637
40,500,0,1.0,RandomForest,4.774744394443092,1.5076731226357,1.5,0.6992058987801011,0.7420006990432739,0.05584352493966403
40,500,0,1.0,SVR,4.9779163730345495,1.3492613504039213,1.0,0.5163977794943222,0.0017826557159423828,0.0006018901051717882
40,1000,0,1.0,LinearRegression,4.579328191434379,0.8082227489314177,1.0,0.6666666666666666,0.002610325813293457,0.0005176154633819958
40,1000,0,1.0,MLP,12.493829271040365,2.3245083724314988,0.0,0.0,0.08007538318634033,0.01563940715772982
40,1000,0,1.0,RandomForest,4.711314020398239,0.7415402263391805,1.0,0.7378647873726218,1.2576313018798828,0.12291120514350992
40,1000,0,1.0,SVR,4.912845381028593,0.8914475851933298,1.0,0.816496580927726,0.0020941495895385742,0.0004675497797518351
100,10,0,1.0,LinearRegression,2.9008371071510393,0.4604371786026433,4.0,0.4216370213557843,0.0010923147201538086,0.000528153950325692
100,10,0,1.0,MLP,3.4592365365750712,0.5464672151646559,4.5,0.5270462766947299,1.0118567943572998,0.0761514511358745
100,10,0,1.0,RandomForest,2.946040553294861,0.45242776511894817,5.0,0.42163702135578385,0.17470180988311768,0.0210690767152617
100,10,0,1.0,SVR,3.53109635276767,0.6034799502934963,4.0,0.42163702135578385,0.0019294023513793945,0.00048616333646741747
100,30,0,1.0,LinearRegression,3.0494369909130867,0.6429888993290485,4.0,0.5676462121975466,0.001292586326599121,0.00033054972668195405
100,30,0,1.0,MLP,3.6075455043002824,0.6928928155232623,4.0,0.8432740427115678,0.35799264907836914,0.03231838276274695
100,30,0,1.0,RandomForest,2.902942658726085,0.4214699109818012,4.0,0.6324555320336758,0.2527191638946533,0.021418745778206637
100,30,0,1.0,SVR,4.044659215415855,0.6361714860422096,4.0,0.9189365834726815,0.0023113489151000977,0.00048155969366485196
100,50,0,1.0,LinearRegression,4.156379617146953,1.2964735341020561,3.0,0.6749485577105528,0.0017112493515014648,0.00033443305806581347
100,50,0,1.0,MLP,5.09546156135157,0.4557419495349238,3.0,0.7888106377466155,0.2517341375350952,0.03025410587190936
100,50,0,1.0,RandomForest,3.4936055493172278,0.8017875238443443,4.0,0.5163977794943222,0.3610461950302124,0.019777181580756305
100,50,0,1.0,SVR,4.3426219208613634,0.8756678558960005,4.0,0.5163977794943222,0.0021108388900756836,0.00066879940166523
100,100,0,1.0,LinearRegression,5.233137278824458,1.6883469028905165,2.5,0.8232726023485646,0.0027021169662475586,0.000307958696218768
100,100,0,1.0,MLP,6.261387366118178,0.7585934939993576,3.0,0.6749485577105528,0.1653614044189453,0.015716696862181804
100,100,0,1.0,RandomForest,3.479511371531961,0.600350708644075,4.0,0.5676462121975467,0.5526427030563354,0.04891583634736471
100,100,0,1.0,SVR,4.360786479794363,0.7715304472783204,3.0,0.816496580927726,0.002153635025024414,0.0004630661702367916
100,300,0,1.0,LinearRegression,4.69681645800986,0.4553306134753483,3.0,0.9944289260117533,0.0041544437408447266,0.0004940869737582913
100,300,0,1.0,MLP,10.086165186189437,0.9091306858456355,1.5,0.6992058987801011,0.1390669345855713,0.021332222512136133
100,300,0,1.0,RandomForest,3.7234456069566386,0.3520230766512973,3.5,0.8232726023485646,1.3318787813186646,0.12084019347146814
100,300,0,1.0,SVR,4.748542801980982,0.47038757244970925,2.5,0.9660917830792959,0.002570629119873047,0.0030290778518183245
100,500,0,1.0,LinearRegression,5.023149371596668,0.7962926500102488,3.0,0.7888106377466155,0.005062580108642578,0.0010301492884798908
100,500,0,1.0,MLP,9.981366516770738,1.0046299434895498,1.0,0.9486832980505138,0.13407838344573975,0.015418071845063623
100,500,0,1.0,RandomForest,3.840196962408652,0.9320238091656604,3.0,0.5676462121975466,2.0675811767578125,0.1502129577928781
100,500,0,1.0,SVR,5.110725002739744,0.8452660697553868,3.0,0.9486832980505139,0.003031611442565918,0.00034632285926117364
100,1000,0,1.0,LinearRegression,4.5073816217489355,0.5366601461145372,2.5,0.9660917830792959,0.007597923278808594,0.0008886495272187697
100,1000,0,1.0,MLP,12.151151796255554,0.7525178338378568,0.0,0.8432740427115678,0.17554306983947754,0.026018523774019885
100,1000,0,1.0,RandomForest,3.7806896971562773,0.6167716034968729,3.0,0.4714045207910317,4.076030731201172,0.43615743757371755
100,1000,0,1.0,SVR,4.715959647728173,0.7081354998148086,2.0,0.9718253158075503,0.00379025936126709,0.00023998953577446645
