Model,FS,Clean,Noise,Scarce,Correlation,Imbalance,HighDim
LogisticRegression,Embedded,0.7608684504927736,0.6987299887575753,0.67272762345679,0.7084749558554821,0.21245200049547874,0.6320118934744507
LogisticRegression,Filter,0.7014820083862108,0.6376416028627213,0.6286645723104056,0.6729456695843117,0.3184015059015059,0.5660284993869125
LogisticRegression,No FS,0.7181741197775396,0.6748977716614306,0.6816809964726631,0.6903422015237947,0.1870563078896412,0.6256557951977952
LogisticRegression,Wrapper,0.7468139527958125,0.6600525794990126,0.637992724867725,0.6857446119178949,0.2883874295639002,0.612381012764454
MLP,Embedded,0.658787396442943,0.6281953833548777,0.6718446869488536,0.6680026685730216,0.11462965218293436,0.6046259766099359
MLP,Filter,0.6958958528316974,0.5986173705234494,0.6254183201058201,0.7002641960637372,0.3240981240981241,0.5670722888167329
MLP,No FS,0.658787396442943,0.6281953833548777,0.6718446869488536,0.6680026685730216,0.11462965218293436,0.6046259766099359
MLP,Wrapper,0.6728238115916939,0.7113912166701307,0.681754298941799,0.709252521858946,0.14610368513877284,0.6058506103778808
RandomForest,Embedded,0.7518031576282089,0.715265279252865,0.6737505511463845,0.7534825146594808,0.16256613756613755,0.6051395347172769
RandomForest,Filter,0.6963790369708526,0.634559063142672,0.661019069664903,0.7178510753426904,0.26203703703703707,0.5761668589820776
RandomForest,No FS,0.7259607660693028,0.6957593574307012,0.6937268518518518,0.7222545945827736,0.19206472539805874,0.5880148085609302
RandomForest,Wrapper,0.7305352176734129,0.7129700385583645,0.6814379409171075,0.6997932600520432,0.20456651860160632,0.5930365955965792
SVC,Embedded,0.7532039311053329,0.6988560252024199,0.6590801366843033,0.7159602367860453,0.16009700176366842,0.6235862799818713
SVC,Filter,0.7284271892755351,0.636591990467717,0.62536541005291,0.7132334403700559,0.3307359307359307,0.5724610335079664
SVC,No FS,0.5604846936790727,0.5340121419132585,0.5330913800705468,0.6156969812561264,0.182010582010582,0.5555008732338621
SVC,Wrapper,0.7212890939156531,0.6443307238731039,0.5996015211640211,0.7091258887709266,0.22917313339308226,0.6310396962090414
